1,very_high_quality_dna,This DNA sample is of very high quality.
2,very_low_quality_dna,This DNA sample is of very low quality.
3,high_quality_dna,This DNA sample is of high quality.
4,low_quality_dna,This DNA sample is of low quality.
5,average_quality_dna,This DNA sample is of average quality.
6,above_average_quality_dna,This DNA sample is of above average quality.
7,below_average_quality_dna,This DNA smaple is of below average quality.
8,dna_template_angler,This is a bio-engineered DNA template of an Angler's DNA. 
9,dna_template_bantha,This is a bio-engineered DNA template of a Bantha's DNA.
10,dna_template_bearded_jax,This is a bio-engineered DNA template of a Bearded Jax's DNA.
11,dna_template_blurrg,This is a bio-engineered DNA template of a Blurrg's DNA.
12,dna_template_bol,This is a bio-engineered DNA template of a Bol's DNA.
13,dna_template_bolle_bol,This is a bio-engineered DNA template of a Bolle Bol's DNA.
14,dna_template_bolma,This is a bio-engineered DNA template of a Bolma's DNA.
15,dna_template_brackaset,This is a bio-engineered DNA template of a Brackaset's DNA.
16,dna_template_carrion_spat,This is a bio-engineered DNA template of a Carrion Spat's DNA.
17,dna_template_choku,This is a bio-engineered DNA template of a Choku's DNA.
18,dna_template_dalyrake,This is a bio-engineered DNA template of a Dalyrake's DNA.
19,dna_template_dewback,This is a bio-engineered DNA template of a Dewback's DNA.
20,dna_template_eopie,This is a bio-engineered DNA template of an Eopie's DNA.
21,dna_template_falumpaset,This is a bio-engineered DNA template of a Falumpaset's DNA.
22,dna_template_fambaa,This is a bio-engineered DNA template of a Fambaa's DNA.
23,dna_template_gualama,This is a bio-engineered DNA template of a Gualama's DNA.
24,dna_template_guf_drolg,This is a bio-engineered DNA template of a Guf Drolg's DNA.
25,dna_template_gurrcat,This is a bio-engineered DNA template of a Gurrcat's DNA.
26,dna_template_gurreck,This is a bio-engineered DNA template of a Gurreck's DNA.
27,dna_template_kaadu,This is a bio-engineered DNA template of a Kaadu's DNA.
28,dna_template_kahmurra,This is a bio-engineered DNA template of a Kahmurra's DNA.
29,dna_template_kimogila,This is a bio-engineered DNA template of a Kimogila's DNA.
30,dna_template_krahbu,This is a bio-engineered DNA template of a Krahbu's DNA.
31,dna_template_kusak,This is a bio-engineered DNA template of a Kusak's DNA.
32,dna_template_narglatch,This is a bio-engineered DNA template of a Narglatch's DNA.
33,dna_template_pugoriss,This is a bio-engineered DNA template of a Pugoriss' DNA.
34,dna_template_rancor,This is a bio-engineered DNA template of a Rancor's DNA.
35,dna_template_ronto,This is a bio-engineered DNA template of a Ronto's DNA.
36,dna_template_sand_panther,This is a bio-engineered DNA template of a Razor Cat's DNA.
37,dna_template_snorbal,This is a bio-engineered DNA template of a Snorbal's DNA.
38,dna_template_torton,This is a bio-engineered DNA template of a Torton's DNA.
39,dna_template_tybis,This is a bio-engineered DNA template of a Tybis' DNA.
40,dna_template_veermok,This is a bio-engineered DNA template of a Veermok's DNA.
41,dna_template_zucca_boar,This is a bio-engineered DNA template of a Zucca Boar's DNA.
42,dna_template_generic,This is a bio-engineered DNA template.
