1,adv_hvy_blaster_power_handler,Advanced Heavy Blaster Power Handler
2,adv_hvy_projectile_feed_mech,Advanced Heavy Projectile Feed Mechanism
3,adv_vehicle_module,Advanced Vehicle Module
4,adv_vehicle_structural_frame,Advanced Vehicle Structural Frame
5,adv_warhead_launcher,Advanced Warhead Launcher
6,agitator_motor,A draft schematic for an agitator motor.
7,allum_hardening_compound,Allum Hardening Compound
8,armor_panel_acid,Acid Class Armor Panel
9,armor_panel_blast,Blast Class Armor Panel
10,armor_panel_cold,Cold Class Armor Panel
11,armor_panel_electrical,Electrical Class Armor Panel
12,armor_panel_energy,Energy Class Armor Panel
13,armor_panel_heat,Heat Class Armor Panel
14,armor_panel_kenetic,Kenetic Class Armor Panel
15,armor_plating_mk1,Armor Plating Model I
16,armor_plating_mk2,Armor Plating Model II
17,armor_plating_mk3,Armor Panel Model III
18,assembly_enclosure,Forms the protective casing for the device's electronics.
19,assorted_fruit,This is a draft schematic for a set of assorted fruit that can be used as a decoration.
20,auto_blaster_cannon,Auto-Blaster Cannon
21,bacta_tank,"This is a draft schematic for a large bacta tank that is non-functional, but can be used as a display."
22,basket_closed,This is a draft schematic for a decorative closed basket.
23,blaster_cannon,Blaster Cannon
24,booster_charge,A booster charge launches fireworks into the sky.
25,bottle_fat,"This is a draft schematic for a short, fat decorative glass bottle."
26,bottle_pear,This is a draft schematic for a pear shaped decorative glass bottle.
27,bottle_tall,This is a draft schematic for a tall decorative glass bottle.
28,bubble_tank,This draft schematic is for a decorative bubble tank.
29,bug_habitat,An engineered creature habitat that will keep a small sample of creatures alive and well for an extended period of time.  You can release these creatures into the wild if you want.
30,burster_charge,A burster charge explodes the firework just as it reaches the perfect altitude.
31,cafe_chair,This draft schematic is for a chair like the ones used in outdoor cafes.
32,campfire,"This draft schematic creates a permanently lit campfire, used as a decoration."
33,cantina_chair,This draft schematic is for a chair like the ones used in cantinas.
34,capacitor_bank,This bank of capacitors is used to temporarily store a large electrical charge.
35,carved_bowl,This is a draft schematic for a carved wooden bowl.
36,carved_plain,This is a draft schematic for a plain wooden bowl.
37,chemical_agent,Chemical Agent
38,chemical_enhancers,Chemical Enhancers
39,chemical_recycler,A draft schematic for a Chemical Recycler.
40,chemicals,Various chemicals used while slicing.
41,clamp_body,A clamp used in slicing.
