1,knife_shaft,Holds the knife blade and serves as a mounting point for the grip.

2,cutting_edge,A reinforced strip of material honed to a knife edge.
3,grip,"A semi-textured and shaped section of the weapon, built to serve as a grabbing point from which to thrust and swing it."
4,grip_cap,A cover for a tinyl compartment used to store built-in items to maintain the weapon.
5,staff_shaft,"Primary functional part of the staff, it is rigid yet remains slightly flexible, increasing its durability and ability to do damage."
6,axe_head,A solid and weighty chunk of material which mounts to a shaft and which has a cutting edge on its striking-face.
7,shaft,Serves as the handle for swinging a weapon.
8,axe_head_fastener,Holds the axe head onto the shaft it is attached to.
9,blaster_pistol_barrel,A metal tube that focuses and directs the energy from a blaster towards its intended target.
10,blaster_rifle_barrel,A metal tube that focuses and directs the energy from a blaster rifle towards its intended target.
11,blaster_power_handler,This regulates a blaster's power output.
12,chemical_dispersion_mechanism,This mechanism is responsible for a weapon's chemical dispersion.
13,energization_crystals,Energization crystals can greatly increase the effectiveness of laser and blaster weapons.
14,galven_tube_circuits,"These galven circuits help maintain a laser beam's cohesion over incredible distances.  These circuits are placed inside of a galven tube alongside galven coils, in line with the laser barrel.   Regular blasters generally have a more simplified version of this technology, compared to what is required for laser weaponry."
15,laser_cannon_cooling_sleeve,"Laser cannons generate excessive heat while in use, and cooling sleeves are an important part of the sophisticated cooling system that is used to protect sensitive internal components."
16,laser_cannon_gun_tube,A gun-tube for a laser cannon.
17,laser_generator,A laser generator is the most common source of energy for laser cannons.
18,laser_magnetic_flashback_supressor,"A crescent-shaped device at the end of some laser barrels, a flashback suppressor is designed to prevent occasionally unstable laser beams from damaging the barrel."
19,parallel_weapon_targeting_computer,This targeting computer is designed to be used with weapons that have been placed parallel to each other on one mount.
20,projectile_feed_mechanism,A projectile weapon's feed mechanism.
21,projectile_pistol_barrel,Projectile pistol barrels guide and direct projectiles that are propelled via a pistol's firing mechanism.
22,projectile_rifle_barrel,Projectile rifle barrels guide and direct projectiles that are propelled via a rifle's firing mechanism.
23,scope_weapon,A weapon's scope can increase its accuracy.
24,stock_unit,This is a stock for a rifle.
25,sword_core,This is the main body of a sword's blade.
26,turbo_laser_gun_tube,This is the gun tube for a turbolaser.
27,blade_vibro_unit,"This vibro-unit will turn a normal blade into a much more destructive weapon by creating thousands of microscopic vibrations a second, greatly improving its cutting ability."
28,weapon_mount,A mount that allows a weapon to be attached to it.
29,weapon_mount_light,A mount for use with lighter weapons.
30,weapon_targeting_computer,"A weapon's targeting computer helps determine the range to the target, and can greatly help a gunner's accuracy."
31,weapon_trajectory_computer,A weapon's trajectory computer can help determine the trajectory of a target.
32,cartridge_feed_mechanism,This mechanism feeds a weapon from its cartridge.
33,trigger_pulse_prism,A trigger pulse prism.
34,prism_mount,A prism mount.
35,fusing_module_casing,A fusing module casing.
36,insulation,Some insulation.
37,warhead_and_control_coupling,This is coupling for the warhead and its control unit.
38,scope_schell,The shell of a weapon scope.
39,scope_shell,The shell of a weapon scope.
40,projectile,"A shaped hunk of metal, for use in making projectile ammunition."
41,cartridge_casing,A cartridge casing.
42,propulsive_charge,"A propulsive charge, when properly used, can accelerate projectiles at incredible speeds."
43,neutralization_material,Biological neutralization material.
44,grip_unit,A grip unit.
45,lance_shaft,A lance blade-shaft's assembly.
46,power_circuits,Power circuits.
47,axe_base,An axe base.
48,enclosure_shell,An enclosure shell.
49,blaster_power_handler_advanced,This advanced power handler is suited for more powerful blasters.
50,projectile_feed_mechanism_advanced,An advanced feed mechanism for projectile weapons.
51,projectile_pistol_barrel_advanced,Projectile pistol barrels guide and direct projectiles that are propelled via a pistol's firing mechanism.  This is an advanced barrel design.
52,scope_weapon_advanced,"A weapon's scope can increase its accuracy.  This is an advanced scope design, and is more effective than a standard scope."
53,stock_unit_advanced,This is an advanced stock for a rifle.
54,blaster_rifle_barrel_advanced,"A metal tube that focuses and directs the energy from a blaster rifle towards its intended target.  This is an advanced barrel design, and is more effective than the basic barrel."
55,chemical_dispersion_mechanism_advanced,This mechanism is responsible for a weapon's chemical dispersion.  This is an advanced design and allows for a greater effect.
56,sword_core_advanced,This is the main body of a sword's blade.  This advanced design allows for a stronger sword.
57,projectile_rifle_barrel_advanced,Projectile rifle barrels guide and direct projectiles that are propelled via a rifle's firing mechanism.  This is an advanced barrel design.
58,blade_vibro_unit_advanced,An advanced Vibro Blade unit
59,blaster_power_handler_enhancement,This unit can be added to a Blaster Power Handler to improve any weapons made with it.
60,projectile_feed_mechanism_enhancement,This unit can be added to a Projectile Feed Mechanism to improve any weapons made with it.
61,blade_vibro_unit_enhancementgg,This unit can be added to a Vibro Blade Unit to improve any weapons made with it.
62,blaster_power_handler_enhancement_durability,When used in a Blaster Power Handler this Heavy Duty Power Converter gives weapons a much longer usage time before failing due to burn-out.
63,projectile_feed_mechanism_enhancement_durability,This Heavy Duty Feed Mechanism can be used in the construction of Projectile Feed Mechanisms to extend the usable lifespan of a weapon.
64,blade_vibro_unit_enhancement_durability,Vibro Blade Units made with this Heavy Duty Vibro Motor last much longer than standard units.
65,blade_vibro_unit_enhancement_wounding,A Weaponsmith can incorporate this High Frequency Vibro Motor into a Vibro Blade Unit to create weapons that cause devastating wounds to an enemy.
66,projectile_feed_mechanism_enhancement_max_damage,When incorporated into a Projectile Feed Mechanism this High Velocity Feed Mechanism gives weapons a much higher damage capacity.
