1,corellia_house_large_deed,A deed for a large Corellian house. This can only be placed on Corellia.
2,corellia_house_medium_deed,A deed for a medium Corellian house. This can only be placed on Corellia.
3,corellia_house_small_deed,A deed for a small Corellian house.  This can only be placed on Corellia.
4,clothing_factory,A deed for a clothing and armor factory.
5,food_factory,A deed for a food factory.
6,item_factory,A deed for an item and weapon factory.
7,structure_factory,A deed for a structure and installation factory.
8,fusion_generator_deed_name,A deed for a fusion power generator.
9,photo_bio_generator_deed_name,A deed for a photo-bio power generator.
10,solar_generator_deed_name,A deed for a solar power generator.
11,wind_generator_deed_name,A deed for a wind power generator.
12,creature_harvester_deed_name,A deed for an automated creature farm installation.
13,flora_harvester_deed_name,A deed for an automated flora farm installation.
14,gas_harvester_deed_name,A deed for a gas harvester installation.
15,liquid_harvester_deed_name,A deed for a liquid harvester installation.
16,moisture_harvester_deed_name,A deed for a moisture harvester apparatus.
17,ore_s1_harvester_deed_name,A deed for an ore harvester (Style 1) apparatus.
18,ore_s2_harvester_name,A deed for an ore harvester (Style 2) apparatus.
19,naboo_house_large_deed,A deed for a large Naboo house. This can only be placed on Naboo.
20,naboo_house_medium_deed,A deed for a medium Naboo house. This can only be placed on Naboo.
21,naboo_house_small_deed,A deed for a small Naboo house. This can only be placed on Naboo.
22,tatooine_house_large_deed,A deed for a large Tatooine house. This can only be placed on Tatooine.
23,tatooine_house_medium_deed,A deed for a medium Tatooine house. This can only be placed on Tatooine.
24,tatooine_house_small_deed,A deed for a small Tatooine house. This can only be placed on Tatooine.
25,turret_block_large_deed_name,A deed for a large block turret.
26,turret_block_medium_deed_name,A deed for a medium block turret.
27,turret_block_small_deed_name,A deed for a small block turret.
28,covert_detector_32m,A deed for a covert faction scanner.
29,ore_s2_harvester_deed_name,A deed for an ore harvester (Style 2) apparatus.
30,naboo_house_medium_style_2_deed,A deed for a medium Naboo house. This is the second style design. This can only be placed on Naboo.
31,naboo_house_small_style_2_deed,A deed for a small Naboo house. This is the second style design. This can only be placed on Naboo.
