1,accarragm,A strong Wookiee beverage made from fungus and alcohol stock.
2,accarragm_eff,"Grants enhanced action, quickness, and stamina."
3,ahrisa,A spicy food commonly found in cafes on Coruscant.
4,ahrisa_eff,Grants enhanced focus.
5,air_cake,A simple Corellian dessert cake.
6,aitha,A protein drink consumed by spacers to keep their bodies healthy during long runs.  Best served hot.
7,alcohol,Basic alcohol stock made from some kind of cereal resource.
8,ale,"A bottle of thick, foaming ale."
9,almond_kwevvu_crisp_munchies,A small pastry eaten by the handful.
10,aludium_pu36,"A very pure and strong alcoholic stock popular during the Old Republic.  Aludium pu36 has a secret radioactive ingredient, but is safe enough for humanoid consumption."
11,angerian_fishak_surprise,"A strong mixed, alcoholic drink."
12,antakarian_fire_dancer,"A thick, potent ale made from alcoholic stock filtered through igneous rock and flavored with crushed gemstone.  This drink is popular with rough and tough types."
13,avian_strips,Delicious Avian Strips
14,bantha_blaster,A cantina favorite.  Drink with caution.
15,bantha_butter,Butter made from a Bantha's milk.
16,bespin_port,A sweet form of port native to Bespin.
17,bio_down,You are under the effect of a negative biological effect.
18,bio_kliknik_fortitude_boost,"An extract from the Kliknik immune system, this chemical coats the users organs with an ultra thin protective layer that insulates them during heavy exertion.  Can cause severe nausea when the body attempts to remove the coating."
19,bio_kwi_adrenal_boost,A gland which secretes a fluid into the kwi bloodstream which increases their base regeneration in response to an attack.  Can cause burnout after the boost has run its course.
20,bio_up,You are under the effect of a positive biological effect.
21,birthday_cake,A scrumptuous birthday cake!
22,bivoli_tempari,A very expensive and sweet dish that features toughened meat in a syrupy sauce.
23,blap_biscuit,A gooey biscuit served drenched in carbosyrup.
24,blob_candy,A popular candy made from a filled blob of carbosyrup.
25,blob_candy_eff,Grants enhanced action.
26,blood_chowder,A healthy meal made of soypro cooked in purified animal blood.
27,blue_milk,A protein enhanced milk beverage that has healing qualities.
28,bofa_treat,"A sweet, dried, fruit based snackfood."
29,bofa_treat_eff,Grants enhanced health.
30,booster_blue,"An out-of-use industrial dye employed in starship manufacturing that when consumed, enhances the user's physical reaction time."
31,boullion,A cube of boullion.
32,braised_canron,A jellied meat carefully braised and seasoned.
33,bread,A chunk of bread.
34,bread_loaf_full_s1,a Loaf of Bread
35,breath_of_heaven,The Galaxy's most potent fire water: this stuff is as strong as it comes.
36,breath_of_heaven_eff,"Grants enhanced strength, quickness, and focus."
37,caf,A stimulating beverage flavoured with grains or bean extract.
38,caf_eff,Grants enhanced willpower.
39,casserole,A steaming casserole.
40,cavaellin_creams,Delicious spiced candies.
41,chandad,A popular snack food filled with rice and fruit.
42,charde,A refreshing beverage flavored with some unidentifiable organic substance.  Best served cold.
43,cho_nor_hoola,A vile smelling stew favored by members of the Hutt race.  Only those with willpower can stand to eat a full serving of Cho-Nor-Hoola.
44,citros_snow_cake,A delicious pastry made with light fruits and sweet cake mix.
45,cold_cuts,Scrumptious slices of cold Meat.
46,corellian_ale,Probably the most common alcoholic beverage in the galaxy.  Corellian Ale has a sweet flavor and a medium weight body.
