1,borvo_q1_needed,"An invitation from Naboo crimelord Borvo the Hutt to his rival, Kritus Morven, to sit down and work out their differences.
"
2,borvo_q6_needed,A strain of the Berserker Virus sent by Naboo crimelord Borvo the Hutt to a Black Sun representative from Corellia.

3,ebenn_baobab_q2_needed,"Funds sent by Ebenn Q3 Baobab, celebrated writer, politician, and scholar in Moenia on Naboo, supposedly to set up a (belated) commission to prevent the fall of the Old Republic.
"
4,ebenn_baobab_q3_needed,"Supposedly a collection of poetry submitted to Ebenn Q3 Baobab, celebrated writer, politician, and scholar in Moenia on Naboo
"
5,radanthus_mandelatara_q2_needed,A container holding pinfeathers freshly plucked from two fine peko-pekos

6,radanthus_mandelatara_q3_needed,Anelectrical device crafted just so by a particular craftsman 

7,dilvin_lormurojo_q2_needed,The latest satire by Dilvin Lormurojo
8,bab_esrus_q1_needed,Pigmentation-production chromosomes of the common capper spineflap
9,bab_esrus_q3_needed,Kowakian monkey-lizard with multicolored blood
10,arrek_vonsarko_q1_needed,"An invitation to a respected art critic, Huffee Vindaag"
11,serena_fenner_q1_needed,A scathing review of the latest Imperial opera
12,serena_fenner_q3_needed,An equipment storage request to the Gungans about storing equipment for the Alliance away from prying Imperial eyes
13,kylantha_q1_needed,Makeup kit used by Queen Kylantha of Naboo.

14,kylantha_q2_needed,Naboo Queen Kylantha's polite refusal to join a sightseeing trip organized by Imperial Army General Liles Dorond

15,ian_lago_q1_needed,A Neuro-Saav Sensor Pack

16,ian_lago_q3_needed,An encrypted datadisc.

17,mal_sikander_q1_needed,A modified disruptor pistol

18,mal_sikander_q5_needed,An encrypted datadisc.

19,vrir_unglan_q1_needed,An encrypted datadisc.

20,vrir_unglan_q2_needed,An encrypted datadisc.

21,ayn_eckener_q3_needed,An order to the research camp leader to stop wearing their carrion-smelling perfume
22,kadil_nurugen_q1_needed,An encrypted datadisc.

23,sayama_edosun_q1_needed,A sample of discovered blue colored glie (moss)
24,sayama_edosun_q2_needed,An encrypted datadisc.

25,sayama_edosun_q3_needed,A corpse of a chuba
26,junelle_astor_q1_needed,Private correspondence of Naboo's High Inquisitor Mal Sikander.

