1,medpack_damage,"This medpack allows someone with medic skill to heal themselves and others who are nearby. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
2,medpack_sm_s1,"This medpack allows someone with medic skill to heal themselves and others who are nearby. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
3,medpack_wound,"This medpack will allow someone who is skilled to heal minor wounds on their target. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
4,medpack_wound_action,"Medicine specifically designed to heal wounds to the Action pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
5,medpack_wound_constitution,"Medicine specifically designed to heal wounds to the Constitution pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
6,medpack_wound_health,"Medicine specifically designed to heal wounds to the Health pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
7,medpack_wound_quickness,"Medicine specifically designed to heal wounds to the Quickness pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
8,medpack_wound_stamina,"Medicine specifically designed to heal wounds to the Stamina pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
9,medpack_wound_strength,"Medicine specifically designed to heal wounds to the Strength pool. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
10,healing_grenade,This grenade is designed to spray a jelly-like type of bacta that can ease the extent of battlefield injuries.
11,medic_damage_a,"This low-level health-stim hypodermic appliance allows Medics to heal themselves and others who are nearby. To use it, click on your target (they should be your look-at target) then click on the medpack and choose the option to heal your target.  Alternately, you can put the medpack in your toolbar, choose your lookat target, then hit the quick-key that corresponds to your medicine."
12,medic_cure_poison_a,This medpack allows for the possibility of curing an ally who has become poisoned.
13,medic_blinded_a,This medpack allows for the possibility of curing an ally who has become blind.
14,medic_dizzy_a,This medpack can be used to attempt to cure an ally who has become dizzy.
15,medic_cure_poison_b,This more advanced medpack has a better chance of curing an ally of malicious poisons.
16,medic_cure_poison_c,This very advanced medpack is very efficient at curing most poisons.
17,medic_poison_health_a,This device delivers a poison at range which causes health damage.
18,medic_poison_health_b,This device delivers a strong poison at range which causes health damage.
19,medic_poison_health_c,This device delivers a powerful poison at range which causes health damage.
20,medic_poison_action_a,This device delivers a poison at range which causes action damage.
21,medic_poison_action_b,This device delivers a strong poison at range which causes action damage.
22,medic_poison_action_c,This device delivers a powerful poison at range which causes action damage.
23,medic_poison_mind_a,This device delivers a poison at range which causes mind damage.
24,medic_poison_mind_b,This device delivers a strong poison at range which causes mind damage.
25,medic_poison_mind_c,This device delivers a powerful poison at range which causes mind damage.
26,medic_disease_action_a,This device delivers a disease at range which inflicts action wounds.
27,medic_disease_action_b,This device delivers a strong disease at range which inflicts action wounds.
28,medic_disease_action_c,This device delivers a powerful disease at range which inflicts action wounds.
29,medic_disease_constitution_a,This device delivers a disease at range which inflicts constitution wounds.
30,medic_disease_constitution_b,This device delivers a strong disease at range which inflicts constitution wounds.
31,medic_disease_constitution_c,This device delivers a powerful disease at range which inflicts constitution wounds.
32,medic_disease_focus_a,This device delivers a disease at range which inflicts focus wounds.
33,medic_disease_focus_b,This device delivers a strong disease at range which inflicts focus wounds.
34,medic_disease_focus_c,This device delivers a powerful disease at range which inflicts focus wounds.
35,medic_disease_health_a,This device delivers a disease at range which inflicts health wounds.
36,medic_disease_health_b,This device delivers a strong disease at range which inflicts health wounds.
37,medic_disease_health_c,This device delivers a powerful disease at range which inflicts health wounds.
38,medic_disease_mind_a,This device delivers a disease at range which inflicts mind wounds.
39,medic_disease_mind_b,This device delivers a strong disease at range which inflicts mind wounds.
40,medic_disease_mind_c,This device delivers a powerful disease at range which inflicts mind wounds.
41,medic_disease_quickness_a,This device delivers a disease at range which inflicts quickness wounds.
42,medic_disease_quickness_b,This device delivers a strong disease at range which inflicts quickness wounds.
43,medic_disease_quickness_c,This device delivers a powerful disease at range which inflicts quickness wounds.
44,medic_disease_stamina_a,This device delivers a disease at range which inflicts stamina wounds.
45,medic_disease_stamina_b,This device delivers a strong disease at range which inflicts stamina wounds.
46,medic_disease_stamina_c,This device delivers a powerful disease at range which inflicts stamina wounds.
47,medic_disease_strength_a,This device delivers a disease at range which inflicts strength wounds.
48,medic_disease_strength_b,This device delivers a strong disease at range which inflicts strength wounds.
49,medic_disease_strength_c,This device delivers a powerful disease at range which inflicts strength wounds.
