1,angler,angler
2,angler_jungle_large,greater jungle angler
3,angler_jungle_medium,jungle angler
4,angler_jungle_small,lesser jungle angler
5,angler_swamp_large,greater swamp angler
6,angler_swamp_medium,swamp angler
7,angler_swamp_small,lesser swamp angler
8,angler_underwater_large,greater aquatic angler
9,angler_underwater_medium,aquatic angler
10,angler_underwater_small,lesser aquatic angler
11,bageraset,bageraset
12,bageraset_forest_large,greater forest bageraset
13,bageraset_forest_medium,forest bageraset
14,bageraset_forest_small,lesser forest bageraset
15,bantha,bantha
16,bantha_desert_large,greater desert bantha
17,bantha_desert_medium,desert bantha
18,bantha_desert_small,lesser desert bantha
19,bantha_dune_large,greater dune bantha
20,bantha_dune_medium,dune bantha
21,bantha_dune_small,lesser dune bantha
22,bantha_wasteland_large,greater wasteland bantha
23,bantha_wasteland_medium,wasteland bantha
24,bantha_wasteland_small,lesser wasteland bantha
25,bark_mite,bark mite
26,bark_mite_grassland_large,greater grassland bark mite
27,bark_mite_grassland_medium,grassland bark mite
28,bark_mite_grassland_small,lesser grassland bark mite
29,bark_mite_hills_large,greater hills bark mite
30,bark_mite_hills_medium,hills bark mite
31,bark_mite_hills_small,lesser hills bark mite
32,baz_nitch,baz nitch
33,baz_nitch_forest_large,greater forest baz nitch
34,baz_nitch_forest_medium,forest baz nitch
35,baz_nitch_forest_small,lesser forest baz nitch
36,baz_nitch_mountain_large,greater mountain baz nitch
37,baz_nitch_mountain_medium,mountain baz nitch
38,baz_nitch_mountain_small,lesser mountain baz nitch
39,bearded_jax,bearded jax
40,bearded_jax_grassland_large,greater grassland bearded jax
41,bearded_jax_grassland_medium,grassland bearded jax
42,bearded_jax_grassland_small,lesser grassland bearded jax
43,binjinphant,binjinphant
44,binjinphant_forest_large,greater forest binjinphant
45,binjinphant_forest_medium,forest binjinphant
46,binjinphant_forest_small,lesser forest binjinphant
47,blackfish,blackfish
48,blackfish_underwater_large,greater underwater blackfish
49,blackfish_underwater_medium,underwater blackfish
50,blackfish_underwater_small,lesser underwater blackfish
51,blistmok,blistmok
52,blistmok_mountain_large,greater mountain blistmok
53,blistmok_mountain_medium,mountain blistmok
54,blistmok_mountain_small,lesser mountain blistmok
55,blistmok_wasteland_large,greater wasteland blistmok
56,blistmok_wasteland_medium,wasteland blistmok
57,blistmok_wasteland_small,lesser wasteland blistmok
58,bluefish,bluefish
59,bluefish_underwater_large,greater underwater bluefish
60,bluefish_underwater_medium,underwater bluefish
61,bluefish_underwater_small,lesser underwater bluefish
62,blurrg,blurrg
63,blurrg_forest_large,greater forest blurrg
64,blurrg_forest_medium,forest blurrg
65,blurrg_forest_small,lesser forest blurrg
66,blurrg_mountain_large,greater mountain blurrg
67,blurrg_mountain_medium,mountain blurrg
68,blurrg_mountain_small,lesser mountain blurrg
69,boar_wolf,boar wolf
70,boar_wolf_mountain_large,greater mountain boar wolf
71,boar_wolf_mountain_medium,mountain boar wolf
72,boar_wolf_mountain_small,lesser mountain boar wolf
73,bocatt,bocatt
74,bocatt_grassland_large,greater grassland bocatt
75,bocatt_grassland_medium,grassland bocatt
76,bocatt_grassland_small,lesser grassland bocatt
77,bocatt_hills_large,greater hills bocatt
78,bocatt_hills_medium,hills bocatt
79,bocatt_hills_small,lesser hills bocatt
80,bol,bol
81,bol_grassland_large,greater grassland bol
82,bol_grassland_medium,grassland bol
83,bol_grassland_small,lesser grassland bol
84,bolle_bol,bolle bol
85,bolle_bol_grassland_large,greater grassland bolle bol
86,bolle_bol_grassland_medium,grassland bolle bol
87,bolle_bol_grassland_small,lesser grassland bolle bol
88,bolma,bolma
89,bolma_desert_large,greater desert bolma
90,bolma_desert_medium,desert bolma
91,bolma_desert_small,lesser desert bolma
92,bolma_dune_large,greater dune bolma
93,bolma_dune_medium,dune bolma
94,bolma_dune_small,lesser dune bolma
95,bolma_mountain_large,greater mountain bolma
96,bolma_mountain_medium,mountain bolma
97,bolma_mountain_small,lesser mountain bolma
98,bordok,bordok
99,bordok_mountain_large,greater mountain bordok
100,bordok_mountain_medium,mountain bordok
101,bordok_mountain_small,lesser mountain bordok
102,borgle,borgle
103,borgle_jungle_large,greater jungle borgle
104,borgle_jungle_medium,jungle borgle
105,borgle_jungle_small,lesser jungle borgle
106,brackaset,brackaset
107,brackaset_desert_large,greater desert brackaset
108,brackaset_desert_medium,desert brackaset
109,brackaset_desert_small,lesser desert brackaset
110,capper_spineflap,spineflap capper
111,capper_spineflap_forest_large,greater forest capper spineflap
112,capper_spineflap_forest_medium,forest capper spineflap
113,capper_spineflap_forest_small,lesser forest capper spineflap
114,carrion_spat,spat carrion
115,carrion_spat_grassland_large,greater grassland carrion spat
116,carrion_spat_grassland_medium,grassland carrion spat
117,carrion_spat_grassland_small,lesser grassland carrion spat
118,choku,choku
119,choku_jungle_large,greater jungle choku
120,choku_jungle_medium,jungle choku
121,choku_jungle_small,lesser jungle choku
122,chuba,chuba
123,chuba_forest_large,greater forest chuba
124,chuba_forest_medium,forest chuba
125,chuba_forest_small,lesser forest chuba
126,chuba_swamp_large,greater swamp chuba
127,chuba_swamp_medium,swamp chuba
128,chuba_swamp_small,lesser swamp chuba
129,colo_claw_fish,colo claw fish
130,colo_claw_fish_underwater_large,greater colo claw fish
131,colo_claw_fish_underwater_medium,colo claw fish
132,colo_claw_fish_underwater_small,lesser colo claw fish
133,condor_dragon,condor dragon
134,condor_dragon_forest_large,greater forest condor dragon
135,condor_dragon_forest_medium,forest condor dragon
136,condor_dragon_forest_small,lesser forest condor dragon
137,condor_dragon_mountain_large,greater mountain condor dragon
138,condor_dragon_mountain_medium,mountain condor dragon
139,condor_dragon_mountain_small,lesser mountain condor dragon
140,corellian_butterfly,corellian butterfly
141,corellian_butterfly_forest_large,greater forest Corellian butterfly
142,corellian_butterfly_forest_medium,forest Corellian butterfly
143,corellian_butterfly_forest_small,lesser forest Corellian butterfly
144,corellian_butterfly_mountain_large,greater mountain Corellian butterfly
145,corellian_butterfly_mountain_medium,mountain Corellian butterfly
146,corellian_butterfly_mountain_small,lesser mountain Corellian butterfly
147,corellian_sand_panther,Corellian sand panther
148,corellian_sand_panther_grassland_large,greater grassland Corellian sand panther
149,corellian_sand_panther_grassland_medium,grassland Corellian sand panther
150,corellian_sand_panther_grassland_small,lesser grassland Corellian sand panther
151,corellian_slice_hound,Corellian slice hound
152,corellian_slice_hound_forest_large,greater forest Corellian slice hound
153,corellian_slice_hound_forest_medium,forest Corellian slice hound
154,corellian_slice_hound_forest_small,lesser forest Corellian slice hound
155,corellian_slice_hound_grassland_large,greater grassland Corellian slice hound
156,corellian_slice_hound_grassland_medium,grassland Corellian slice hound
157,corellian_slice_hound_grassland_small,lesser grassland Corellian slice hound
158,crowned_rasp,crowned rasp
159,crowned_rasp_grassland_large,greater grassland crowned rasp
160,crowned_rasp_grassland_medium,grassland crowned rasp
161,crowned_rasp_grassland_small,lesser grassland crowned rasp
162,crowned_rasp_mountain_large,greater mountain crowned rasp
163,crowned_rasp_mountain_medium,mountain crowned rasp
164,crowned_rasp_mountain_small,lesser mountain crowned rasp
165,crystal_snake,crystal snake
166,crystal_snake_jungle_large,greater jungle crystal snake
167,crystal_snake_jungle_medium,jungle crystal snake
168,crystal_snake_jungle_small,lesser jungle crystal snake
169,crystal_snake_swamp_large,greater swamp crystal snake
170,crystal_snake_swamp_medium,swamp crystal snake
171,crystal_snake_swamp_small,lesser swamp crystal snake
172,crystal_snake_underwater_large,greater underwater crystal snake
173,crystal_snake_underwater_medium,underwater crystal snake
174,crystal_snake_underwater_small,lesser underwater crystal snake
175,cu_pa,cu-pa
176,cu_pa_dune_large,greater dune cu-pa
177,cu_pa_dune_medium,dune cu-pa
178,cu_pa_dune_small,lesser dune cu-pa
179,cu_pa_mountain_large,greater mountain cu-pa
180,cu_pa_mountain_medium,mountain cu-pa
181,cu_pa_mountain_small,lesser mountain cu-pa
182,cu_pa_wasteland_large,greater wasteland cu-pa
183,cu_pa_wasteland_medium,wasteland cu-pa
184,cu_pa_wasteland_small,lesser wasteland cu-pa
185,dalyrake,dalyrake
186,dalyrake_forest_large,greater forest dalyrake
187,dalyrake_forest_medium,forest dalyrake
