1,adv_deflector_shields,Equipment Certification Level: 7

A Mark IV deflector shield generator.  Shield generators provide a first line of defense against incoming energy weapons.
2,adv_durasteel_plating,Equipment Certification Level: 7

A Mark IV durasteel alloy plating that provides superior protection for small starfighters like the X-Wing and the Z95 Headhunter.
3,adv_exhaust,An advanced exhaust system for a starfighter engine.  A well built exhaust system can significantly affect engine performance.
4,adv_fuel_regulation,"An advanced fuel regulation system for a starfighter engine.  The regulation system affects the fuel mixture burned by the sublight drives, so a well built system will positively affect engine performance."
5,advanced_capacitor_battery,An advanced starship weapon capacitor battery.
6,advanced_fuel_ignition,An advanced booster fuel ignition system.  A component used in the production of high quality starship boosters.
7,advanced_fusion_core,An advanced fusion core.  A well built fusion core affects the generation rate of a reactor.
8,advanced_power_distributor,"An advanced reactor power distributor.  As one might expect from the name, this system distributes energy generated by the reactor to the components in a ship that require it.  "
9,advanced_projector_unit,An advanced projector unit.  This is the system that projects the generated shields to the parts of the ship that require it.
10,advanced_recharge_module,An advanced recharge module for a starship weapon capacitor.
11,analysis_tool,"This tool is used by Reverse Engineers to analyze starship components.  All looted ship components have a reverse engineering level---placing that number of identical components in this tool, then using the tool, will result in the creation of a starship component superior in quality to the ones consumed in the process."
12,armor_effectiveness_intensifier_mk1,"This is a component used in the manufacture of starfighter weapons.  This component boosts the armor effectiveness of the weapon, but decreases the shield effectiveness."
13,armor_effectiveness_intensifier_mk2,"This is a component used in the manufacture of starfighter weapons.  This component boosts the armor effectiveness of the weapon, but decreases the shield effectiveness."
14,armor_effectiveness_intensifier_mk3,"This is a component used in the manufacture of starfighter weapons.  This component boosts the armor effectiveness of the weapon, but decreases the shield effectiveness."
15,armor_effectiveness_intensifier_mk4,"This is a component used in the manufacture of starfighter weapons.  This component boosts the armor effectiveness of the weapon, but decreases the shield effectiveness."
16,armor_effectiveness_intensifier_mk5,"This is a component used in the manufacture of starfighter weapons.  This component boosts the armor effectiveness of the weapon, but decreases the shield effectiveness."
17,armor_reinforcement_panel_mk1,"This is a component used in the manufacture of starfighter armor.  Using these panels will strengthen the armor, but will make your starfighter heavier."
18,armor_reinforcement_panel_mk2,"This is a component used in the manufacture of starfighter armor.  Using these panels will strengthen the armor, but will make your starfighter heavier."
19,armor_reinforcement_panel_mk3,"This is a component used in the manufacture of starfighter armor.  Using these panels will strengthen the armor, but will make your starfighter heavier."
20,armor_reinforcement_panel_mk4,"This is a component used in the manufacture of starfighter armor.  Using these panels will strengthen the armor, but will make your starfighter heavier."
21,armor_reinforcement_panel_mk5,"This is a component used in the manufacture of starfighter armor.  Using these panels will strengthen the armor, but will make your starfighter heavier."
22,awing_chassis_token,"Alliance RZ-1 A-wing Starfighter 
By far the fastest starfighter used in the Galactic Civil War, the compact A-wing is the Rebel Alliance's response to the Empire's growing number of TIE fighters and TIE variants. Because of its speed, the A-wing excels at hit-and-run missions, long-range patrols and reconnaissance, and surgical strikes against large starships. A stock A-wing's speed is provided by two powerful Novaldex J-77 ""Event Horizon"" engines. A combination of adjustable thrust-vector controls built into each engine and thruster-control jets located between the engines supply the vehicle's famed maneuverability. Unfortunately, the A-wing's controls are notoriously sensitive and few pilots can handle the craft at top speed. The A-wing relies on its speed and agility in combat. Its armament is relatively weak, consisting of two wing-mounted blaster cannons. A-wings require constant maintenance, and the Alliance has found it extremely difficult to keep a squadron of A-wings operational for any length of time. Despite this, the A-wing is quickly becoming one of the galaxy's most prominent interceptor fighters.
"
23,blacksun_heavy_chassis_token,"TransGalMeg ""Rihkxyrk"" (rik-zerk) Attack Ship
Being a relatively sluggish ship hasn't made the ""Rihkxyrk"" a push-over. Quite the contrary. The defenses and weapon load of most ""Rihkxyrk"" assault fighters is frightening, and is their hallmark. It can be very demoralizing to line up an ""Rihkxyrk"" in your sights and salvo off missiles and cannon pulses only to see them sloughed off by heavy-duty shielding systems and thick, heavy armor. Most ""Rihkxyrk"" pilots are an unflappable group, developing a high level of confidence in themselves and their machines after wading through heavy fire and coming through undamaged."
24,blacksun_light_chassis_token,"TransGalMeg ""Kihraxz"" (ki-Rax) Assault Fighter
The ""Kihraxz"" Assault Fighter is able to quickly close with and surgically attack its target before they are aware. TransGalMeg's design emphasis for this ship was on speed, and as a result defenses are at a premium and weapons loadout is reduced. This might be seen as a dire limitation, but the maneuverability of the ship is such that it can normally avoid attacks that would not be able to withstand. Although a cheaper ship, a number of pilots continue to fly the ""Kihraxz"" even though they could afford something larger, simply because the ship's performance suits their personal combat style."
