1,aakuan_ring,An Aakuan ring.
2,aakuan_robe,An Aakuan robe.
3,anakin_helmet,"A worn helmet with a pair of dirty goggles attached to it. The tag inside it says ""Anakin Skywalker"""
4,apron_s01,A heavy duty leather apron that is worn around the neck and tied behind the back to protect the wearer's clothes from getting dirty or torn.
5,apron_s01_quest,A heavy duty leather apron that is worn around the neck and tied behind the back to protect the wearer's clothes from getting dirty or torn.

This particular apron is outfitted with specific tools and parts to assist with crafting.
6,armor_bone_s01_bicep_l,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
7,armor_bone_s01_bicep_r,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
8,armor_bone_s01_boots,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
9,armor_bone_s01_bracer_l,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
10,armor_bone_s01_bracer_r,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
11,armor_bone_s01_chest_plate,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
12,armor_bone_s01_gloves,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
13,armor_bone_s01_helmet,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
14,armor_bone_s01_leggings,"A piece of bone armor. Bone armor comes from an armorsmith who has collected enough resources from the carcases of animals to create armor. Depending on the type of animal bone used, and the skill of the armorsmith, armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
15,armor_bounty_hunter_belt,A belt for Bounty Hunter Armor.
16,armor_bounty_hunter_bicep_l,"This armor covers the upper arms of the wearer, protecting them from harm."
17,armor_bounty_hunter_bicep_r,"This armor covers the upper arms of the wearer, protecting them from harm."
18,armor_bounty_hunter_boots,"Armored boots, favored by bounty hunters."
19,armor_bounty_hunter_bracer_l,"This armor covers the forearms of the wearer, protecting them from harm."
20,armor_bounty_hunter_bracer_r,"This armor covers the forearms of the wearer, protecting them from harm."
21,armor_bounty_hunter_chest_plate,"This covers the upper torso of the wearer, protecting it from harm."
22,armor_bounty_hunter_gloves,These gloves cover the hands and protect them from harm.
23,armor_bounty_hunter_helmet,"This helmet protects the head from harm, as well as giving standard targetting information to the wearer."
24,armor_bounty_hunter_leggings,"This armor covers the legs of the wearer, protecting them from harm."
25,armor_chitin_s01_bicep_l,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
26,armor_chitin_s01_bicep_r,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
27,armor_chitin_s01_boots,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
28,armor_chitin_s01_bracer_l,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
29,armor_chitin_s01_bracer_r,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
30,armor_chitin_s01_chest_plate,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
31,armor_chitin_s01_gloves,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
32,armor_chitin_s01_helmet,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
33,armor_chitin_s01_leggings,"Chitin armor is made from the exoskeleton of large insect creatures. Depending on the skill of the craftsman and the type of insect carcas used, armor can vary greatly in its protective traits. To wear this armor, double click on it from your inventory. Most armor has encumberance and will decrease some of your maximum statistics when worn. Superior armor provides greater protection while minimizing this disadvantage."
